2021-09-02T22:52:06.184+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:07.186+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:08.187+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:09.188+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:10.190+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:11.190+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:12.190+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:13.192+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:14.192+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:15.193+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:16.194+09:00,HanSeunghun,IdeState,Active,Assignment,Editor,D:/University/Java/Assignment/src/com/company/HelloWorld.java,,6,1,Default task
2021-09-02T22:52:17.195+09:00,HanSeunghun,IdeState,Active,Assignment,Editor,D:/University/Java/Assignment/src/com/company/HelloWorld.java,,6,1,Default task
2021-09-02T22:52:18.196+09:00,HanSeunghun,IdeState,Active,Assignment,Popup,D:/University/Java/Assignment/src/com/company/HelloWorld.java,,6,1,Default task
2021-09-02T22:52:19.198+09:00,HanSeunghun,IdeState,Active,Assignment,Popup,C:/Users/HanSeunghun/AppData/Roaming/JetBrains/IntelliJIdea2021.2/plugins/activity-tracker/ide-events.csv,,5,78,Default task
2021-09-02T22:52:20.199+09:00,HanSeunghun,IdeState,Active,Assignment,Popup,C:/Users/HanSeunghun/AppData/Roaming/JetBrains/IntelliJIdea2021.2/plugins/activity-tracker/ide-events.csv,,5,78,Default task
2021-09-02T22:52:21.200+09:00,HanSeunghun,IdeState,Active,Assignment,Popup,C:/Users/HanSeunghun/AppData/Roaming/JetBrains/IntelliJIdea2021.2/plugins/activity-tracker/ide-events.csv,,5,78,Default task
2021-09-02T22:52:22.201+09:00,HanSeunghun,IdeState,Active,Assignment,Popup,C:/Users/HanSeunghun/AppData/Roaming/JetBrains/IntelliJIdea2021.2/plugins/activity-tracker/ide-events.csv,,5,78,Default task
2021-09-02T22:52:23.201+09:00,HanSeunghun,IdeState,Active,Assignment,Editor,D:/University/Java/Assignment/src/com/company/HelloWorld.java,,6,1,Default task
2021-09-02T22:52:24.202+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:25.203+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:26.205+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:27.205+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:28.207+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:29.209+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:30.210+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:31.211+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:32.212+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
2021-09-02T22:52:33.213+09:00,HanSeunghun,IdeState,Inactive,,,,,-1,-1,
